Indicator Type,File Name,File Hash,IP,URL,Mutex,Description
File Hash,pension_1.pps,6b821ad306c9baa18b7d77a06bbbff032a55ba1bc4b7f93b747477facb8b8fa0,,,,
File Hash,stewardess1.pps,d4a9a07192ba6ddafe86ea8c72277650cc8996cd1ec487d3677d8a4e92e28983,,,,
File Hash,stewardess2.pps,8869567e461c5fe15e4a2d66e28a04445eebf76a0fdc3fc98e3edca6f032e423,,,,
File Hash,syria_china.pps,53dc1535397fe9bdefd4d69bf8b22751668dfc1054713aab71b6048fbd23423a,,,,
File Hash,TaiwanDiplomaticAccess_1.pps,da06b7ee42a7d2f0cf7dd5f225373806cd054b2a3b8fdbba7a0873479c98dfba,,,,
File Hash,TaiwanDiplomaticAccess_2.pps,eb31ffe6666d8307fa59da3d41a5bf0d9f936d909a5f955e0329ab24d64bce90,,,,
File Hash,tibetculture_1.pps,eed9c5e8ec7d25a5c9f15d30d80413edf65ec4f495c3d244c9d55d134e0cccef,,,,
File Hash,tibetculture_2.pps,f9a9808927bccb8a08828b16cf288a89a1b0b67fe55055f5bbcd777fc312b4ce,,,,
File Hash,underestimatingUS_1.pps,a358679e2474750c0ae064590e80085035cdec6028c9025cf4dc48dd610de88e,,,,
File Hash,underestimatingUS_2.pps,511111ebb818471c1402631494aade54f3d13b57eb9cc705392edb615153950d,,,,
File Hash,UruguayJan-Jun_1o.pps,637b305164ed634f4c20bcb89030417f9d41446e5c8517e671ef4c122195ccea,,,,
File Hash,uruguayjan-jun_1.pps,fe3f4bd9810389e68ead6d29270050275440281de0b78532ea9c71d9b3db41f6,,,,
File Hash,UruguayJan-Jun_2o.pps,5f203ea304b97727e6a607c54713da69925337ac1eff98c7761e184c33d37c4d,,,,
File Hash,uruguayjan-jun_2.pps,b9f0e2b6ca667cbabcec0c2cd311eefb831776c33ab679a109345507030b259d,,,,
File Hash,UruguayJul-Dec_1o.pps,66c946d8915c367ec23fedecaa730493d9df292d8b13fbdd56ffcda49a065ac2,,,,
File Hash,uruguayjul-dec_1.pps,a870b9b7d84bbb95da6dcb633f74731b316f4bc77bd71edc779928b71c1e5a4f,,,,
File Hash,UruguayJul-Dec_2o.pps,0abd0d44d12993124ba3081990342ea7d5ab75d1e639b60a4d02960ed2f54b66,,,,
File Hash,uruguayjul-dec_2.pps,af826881bfead39e6319131359521502076a83d75f02ab2fd0754c5a82ab2f73,,,,
File Hash,us_srilanka_relations_1.pps,665b6ffd8ada42e0a1e77a377970eec3b2b8a915d101c7888d1b28e86c80ebfa,,,,
File Hash,us_srilanka_relations_2.pps,e01b1267f5c12291dbcbaa04fcd558b8f7415f11dfe0f2a4cdabe8e69277e52a,,,,
File Hash,WILL_ISIS_INFECT_BANGLADESH.pps,75f8073fa5f842a6ca78e27a703a6b0a30ecba3f9f51e23fcf810b2489db5fb5,,,,
File Hash,zodiac_1.pps,53d6ae6e3f883f1e1ebc9e0b6bdbd8ec8dad344b0988fb4e28b17c19f7385e7e,,,,
File Hash,zodiac_2.pps,55a5d4f879250dbe57523c7caf7fd55b7324043780dd697e9a8b7061500c8c85,,,,
